ID	IDServices	Num Services	Hini	Hfin	Distance	Service Time	Travel Time	Waiting time
103	25958.6.08:15.60/0-28478.6.10:20.60/0-25881.6.12:00.60/0-45556.6.13:30.30/0-37133.6.19:30.30/0-33078.6.21:15.30/0-	6	08:15:43	21:15:43	1.4676520848853951E7	0.0045	17.218011628465014	25.999666666666666
104	3402.6.11:00.150/0-15855.6.13:55.30/0-21472.6.18:00.60/0-47746.6.20:10.30/0-	4	11:00:43	20:07:43	1.4473351667780649E7	0.0045	6.44573892602165	117.99965
105	23500.6.08:30.30/0-43124.6.11:30.30/0-9253.6.14:30.60/0-38848.6.17:30.30/0-18097.6.19:00.30/0-49765.6.20:15.60/0-	6	08:30:43	20:08:43	1.4425997664908998E7	0.004	16.86740549696658	21.999583333333334
106	29460.6.09:15.60/0-40738.6.12:30.60/0-6538.6.20:15.60/0-	3	09:15:43	18:27:43	1.4230758412499197E7	0.003	14.359163749973273	109.99971666666667
107	43672.6.08:30.30/0-5996.6.11:50.60/0-53150.6.14:30.30/0-16289.6.17:30.30/0-46840.6.19:00.30/1-29815.6.20:20.30/0-29451.6.21:30.30/0-	7	08:30:43	21:30:43	1.4117310836318785E7	0.004	18.57774454395946	15.999633333333334
108	7882.6.09:00.60/0-24391.6.10:30.60/0-46753.6.12:00.90/0-16688.6.17:00.30/0-35985.6.19:15.30/0-	5	09:00:43	19:13:43	1.392042051715267E7	0.0045	12.013300571755737	16.00035
109	32348.6.10:15.60/0-25668.6.11:25.45/0-52075.6.13:30.60/0-8255.6.17:00.30/0-8440.6.17:45.30/0-19790.6.20:00.45/0-	6	10:15:43	19:59:43	1.355341248846521E7	0.0045	11.781032948840295	9.999683333333333
110	6237.6.08:00.30/0-31419.6.08:45.60/0-52399.6.10:15.90/0-2240.6.13:00.60/0-	4	08:00:43	12:59:43	1.3489680823278146E7	0.004	3.654910775938185	13.00055
111	9600.6.08:00.30/0-16589.6.09:00.60/1-3496.6.10:50.120/0-41144.6.14:00.30/0-	4	08:00:43	13:59:43	1.3459429846681701E7	0.004	4.6475782227233715	12.000033333333333
112	1902.6.08:30.30/1-52429.6.09:30.60/0-52261.6.10:50.90/0-615.6.12:40.60/1-	4	08:30:43	12:36:43	1.3320689133568339E7	0.004	2.023521118944639	10.999716666666666
113	28619.6.08:00.30/1-27155.6.08:45.60/0-37098.6.10:00.90/0-50106.6.13:45.60/0-	4	08:00:43	13:44:43	1.3238381534030374E7	0.004	5.280534467679157	7.999416666666667
114	33994.6.08:00.60/0-33654.6.09:30.60/0-29646.6.11:00.90/0-17602.6.13:30.60/0-	4	08:00:43	13:26:43	1.3076068370778441E7	0.0045	5.805651872255365	5.99925
115	47746.6.10:00.60/0-24083.6.13:30.30/0-33070.6.15:00.60/0-11990.6.18:15.30/0-26525.6.19:50.60/0-	5	10:00:43	19:47:43	1.3040453389404692E7	0.004	12.681529646823055	31.000116666666667
