
BasicModel: Loading and testing schedule from file

Configuration: 

customers=Usuarios.txt
resources=Auxiliares.txt
services=clusters_originalLong/Servicios_lunes_c11.txt
locations=clusters_originalLong/Cluster_completo_j12_c11.txt
solution=null
solutionVAR=null

Adding 0 additional subservices: 

# customer, serviceReference, dayOfWeek, minHour, minMinute, maxHour, maxMinute, duration, latitude, longitude
--------
1481,1481.0.10:40.120/0,0,9,40,11,40,120,40.413,-3.696
1481,1481.0.19:25.30/0,0,18,25,20,25,30,40.413,-3.696
1501,1501.0.10:05.90/0,0,7,0,20,30,90,40.413,-3.7008
1506,1506.0.10:05.30/0,0,7,0,21,30,30,40.413,-3.6984
1506,1506.0.10:35.90/0,0,7,0,20,30,90,40.413,-3.6984
1534,1534.0.11:45.90/0,0,10,45,12,45,90,40.409,-3.7052
1539,1539.0.08:00.60/0,0,7,0,9,0,60,40.412,-3.6976
1539,1539.0.20:10.30/0,0,19,10,21,10,30,40.412,-3.6976
1542,1542.0.08:55.60/0,0,7,0,21,0,60,40.411,-3.6993
1563,1563.0.13:15.90/0,0,7,0,20,30,90,40.407,-3.6955
1565,1565.0.08:30.60/0,0,7,30,9,30,60,40.41,-3.6977
1569,1569.0.11:05.30/0,0,10,5,12,5,30,40.41,-3.7009
1569,1569.0.12:10.90/0,0,11,10,13,10,90,40.41,-3.7009
1572,1572.0.10:45.60/0,0,7,0,21,0,60,40.41,-3.6963
1572,1572.0.11:45.120/0,0,7,0,20,0,120,40.41,-3.6963
1578,1578.0.09:00.120/0,0,8,0,10,0,120,40.409,-3.7001
1620,1620.0.12:15.90/0,0,7,0,20,30,90,40.412,-3.6947
1637,1637.0.10:40.45/0,0,9,40,11,40,45,40.411,-3.6996
1641,1641.0.11:10.90/0,0,10,10,12,10,90,40.408,-3.7026
1647,1647.0.09:10.45/0,0,8,10,10,10,45,40.412,-3.7025
1647,1647.0.17:30.90/0,0,16,30,18,30,90,40.412,-3.7025
1652,1652.0.11:10.120/0,0,10,10,12,10,120,40.407,-3.698
1739,1739.0.13:50.30/0,0,7,0,21,30,30,40.41,-3.7131
1760,1760.0.12:05.90/0,0,7,0,20,30,90,40.411,-3.7135
1785,1785.0.19:05.30/0,0,18,5,20,5,30,40.413,-3.7133
1785,1785.0.10:10.30/0,0,9,10,11,10,30,40.413,-3.7133
1815,1815.0.12:35.90/0,0,11,35,13,35,90,40.41,-3.706
1825,1825.0.11:10.90/0,0,10,10,12,10,90,40.41,-3.701
1867,1867.0.07:50.90/0,0,7,0,8,50,90,40.412,-3.703
1939,1939.0.12:45.90/0,0,7,0,20,30,90,40.419,-3.7111
1943,1943.0.08:30.60/0,0,7,0,21,0,60,40.407,-3.6992
